,IE Generation,IE Demand,IE Wind Availability,IE Wind Generation,SNSP,Hydro Run-of-River,Fossil hard coal,Fossil oil,Fossil peat,Fossil gas,Hydro pumped storage,Others,Wind onshore,Load,rain,temp,wetb,dewpt,vappr,rhum,msl,wdsp,wddir,ElectricityPrice
IE Generation,1.0,0.7996694693885227,0.48725621824207394,0.5264057391793174,0.2567774739162048,0.4776841815017813,0.14716805147262196,-0.06211851910015777,0.15768918631308868,0.13372947588522882,0.45033599173464006,,0.5549342699597628,0.7764592358158178,,-0.09546501138116091,-0.13182837436369232,-0.16778460568970593,-0.16785044949878555,-0.19490628982401348,-0.18820380417690744,0.36082920565892573,-0.027182575235976714,0.22517757570201163
IE Demand,0.7996694693885227,1.0,0.1231446128183317,0.16471480822657528,0.032324546461400164,0.45592606427145005,0.2897535888891692,0.17487690120611502,0.19125766292069435,0.26878922089298746,0.5831347481722854,,0.1766726171732162,0.9827387154584186,,-0.044641240195385776,-0.09813065598898263,-0.15826536295760676,-0.15833547859112793,-0.27250327506363875,-0.062332419126078925,0.2005967939263959,-0.005533512189456849,0.39254725098541926
IE Wind Availability,0.48725621824207394,0.1231446128183317,1.0,0.9927195254852189,0.9110850773775307,0.2722735231419558,-0.18804853769629792,-0.547475999341001,-0.03877621135382401,-0.5155369469445467,0.009075788816537488,,0.9880152814564329,0.12395774105894253,,-0.09459366981785555,-0.11724173032728134,-0.13468725272403784,-0.1347687224410909,-0.14580520694515495,-0.41105112082874123,0.6367028666462073,-0.056161661080791465,-0.16381259995567993
IE Wind Generation,0.5264057391793174,0.16471480822657528,0.9927195254852189,1.0,0.9034887635215431,0.28829072859495064,-0.1756490154819966,-0.5373526243664927,-0.021569418322537514,-0.49525712481523476,0.03442303535758124,,0.9958261552809228,0.16874811465759593,,-0.10426255317648461,-0.1276652260645517,-0.14551195053691623,-0.1455939015280773,-0.1467249369734635,-0.4043883557657796,0.6300553086617281,-0.056255992783378415,-0.13767522094626847
SNSP,0.2567774739162048,0.032324546461400164,0.9110850773775307,0.9034887635215431,1.0,0.2282975342542983,-0.24917607198100092,-0.5648760918919028,-0.03810441346333804,-0.6236501013119455,-0.04652928220478152,,0.8999643230436644,0.04113432579735335,,-0.06914484929705823,-0.1017143931073639,-0.1320307654190439,-0.13208066700848212,-0.190712728439619,-0.3837185570513137,0.6218777378360222,-0.04940358811880167,-0.21634414443698963
Hydro Run-of-River,0.4776841815017813,0.45592606427145005,0.2722735231419558,0.28829072859495064,0.2282975342542983,1.0,-0.04091161120755102,0.014803247956296749,0.3451781631917079,-0.010272960862673878,0.2395057568612742,,0.2890582111547954,0.47560608191491005,,-0.37592160847937933,-0.38438484118995964,-0.36513908979458637,-0.36512490229797306,0.00014240727428777258,-0.1994871769480362,0.2080772294689917,0.049249698660110246,-0.0188059392196344
Fossil hard coal,0.14716805147262196,0.2897535888891692,-0.18804853769629792,-0.1756490154819966,-0.24917607198100092,-0.04091161120755102,1.0,0.21617277984403793,-0.29902781075386,0.005280443060070007,0.0668050688674674,,-0.17476170895382076,0.2898566683631565,,-0.031858716973506285,-0.01848950460518305,-0.0007589313355271211,-0.0007972258344973871,0.08867234394858471,0.10869730642187057,-0.14701918070821343,0.01763381084374939,0.6511365521187531
Fossil oil,-0.06211851910015777,0.17487690120611502,-0.547475999341001,-0.5373526243664927,-0.5648760918919028,0.014803247956296749,0.21617277984403793,1.0,0.0075162547921037715,0.16866157811155316,0.2057968095338101,,-0.5374041015338201,0.1994474176054425,,0.03037574827993638,0.030582481813359316,0.026373788267869864,0.02630654298780562,0.02821712246709486,0.2501627564992972,-0.3477372879779145,0.00345191172116186,0.17555041337728844
Fossil peat,0.15768918631308868,0.19125766292069435,-0.03877621135382401,-0.021569418322537514,-0.03810441346333804,0.3451781631917079,-0.29902781075386,0.0075162547921037715,1.0,0.1830026240117774,0.13650372828775642,,-0.021415174942795757,0.20471902142568052,,-0.31701653703640126,-0.3273717071468013,-0.31504140506266537,-0.3149482396758244,0.027050060708000773,-0.0006747718456641392,-0.02700010595381555,0.048109961710790954,-0.17934667134204976
Fossil gas,0.13372947588522882,0.26878922089298746,-0.5155369469445467,-0.49525712481523476,-0.6236501013119455,-0.010272960862673878,0.005280443060070007,0.16866157811155316,0.1830026240117774,1.0,0.1922060773961544,,-0.49534294569724524,0.27820304882430796,,0.026445779971305792,0.02632322537447229,0.02501517468549516,0.02495378227803134,0.026048826822696946,0.22066669037021833,-0.2958053434158361,0.03777592141323433,0.09421954086932421
Hydro pumped storage,0.45033599173464006,0.5831347481722854,0.009075788816537488,0.03442303535758124,-0.04652928220478152,0.2395057568612742,0.0668050688674674,0.2057968095338101,0.13650372828775642,0.1922060773961544,1.0,,0.03419965561845389,0.620997934659056,,0.12520821700700643,0.08441416130680723,0.027613338648903234,0.027648502275032086,-0.24003874390423074,-0.01234400268623837,0.11131892494983085,-0.040137228994667956,0.15181018685283998
Others,,,,,,,,,,,,,,,,,,,,,,,,
Wind onshore,0.5549342699597628,0.1766726171732162,0.9880152814564329,0.9958261552809228,0.8999643230436644,0.2890582111547954,-0.17476170895382076,-0.5374041015338201,-0.021415174942795757,-0.49534294569724524,0.03419965561845389,,1.0,0.17372372643675696,,-0.08564985024413313,-0.1111083962262758,-0.1338617959988002,-0.13390930009565294,-0.16543770501008356,-0.39056876182691347,0.6334699616094164,-0.05174538369543803,-0.12765265747024013
Load,0.7764592358158178,0.9827387154584186,0.12395774105894253,0.16874811465759593,0.04113432579735335,0.47560608191491005,0.2898566683631565,0.1994474176054425,0.20471902142568052,0.27820304882430796,0.620997934659056,,0.17372372643675696,1.0,,-0.06341940251149196,-0.11059244491989993,-0.1610930297937699,-0.1611699915202292,-0.2569305199070861,-0.04650218631214372,0.2059459509092104,-0.0025995647222337758,0.4357549620871815
rain,,,,,,,,,,,,,,,,,,,,,,,,
temp,-0.09546501138116091,-0.044641240195385776,-0.09459366981785555,-0.10426255317648461,-0.06914484929705823,-0.37592160847937933,-0.031858716973506285,0.03037574827993638,-0.31701653703640126,0.026445779971305792,0.12520821700700643,,-0.08564985024413313,-0.06341940251149196,,1.0,0.9775031979351936,0.8832533520905265,0.8832089060860654,-0.34250030235448214,0.02693028762919596,0.020228649039321304,-0.17280683098393076,0.037442460118225114
wetb,-0.13182837436369232,-0.09813065598898263,-0.11724173032728134,-0.1276652260645517,-0.1017143931073639,-0.38438484118995964,-0.01848950460518305,0.030582481813359316,-0.3273717071468013,0.02632322537447229,0.08441416130680723,,-0.1111083962262758,-0.11059244491989993,,0.9775031979351936,1.0,0.9612236974794224,0.9612232192243215,-0.15822310438087764,-0.0016267955421920368,-0.027786775975950233,-0.1713675524246104,0.03439341001070425
dewpt,-0.16778460568970593,-0.15826536295760676,-0.13468725272403784,-0.14551195053691623,-0.1320307654190439,-0.36513908979458637,-0.0007589313355271211,0.026373788267869864,-0.31504140506266537,0.02501517468549516,0.027613338648903234,,-0.1338617959988002,-0.1610930297937699,,0.8832533520905265,0.9612236974794224,1.0,0.9998452767689824,0.08391408134746872,-0.03862618199204575,-0.08454176727295856,-0.1567372151579696,0.028598693834084137
vappr,-0.16785044949878555,-0.15833547859112793,-0.1347687224410909,-0.1455939015280773,-0.13208066700848212,-0.36512490229797306,-0.0007972258344973871,0.02630654298780562,-0.3149482396758244,0.02495378227803134,0.027648502275032086,,-0.13390930009565294,-0.1611699915202292,,0.8832089060860654,0.9612232192243215,0.9998452767689824,1.0,0.08428064719390202,-0.0384353937267444,-0.08460410415683034,-0.1568874785196517,0.02856008348834891
rhum,-0.19490628982401348,-0.27250327506363875,-0.14580520694515495,-0.1467249369734635,-0.190712728439619,0.00014240727428777258,0.08867234394858471,0.02821712246709486,0.027050060708000773,0.026048826822696946,-0.24003874390423074,,-0.16543770501008356,-0.2569305199070861,,-0.34250030235448214,-0.15822310438087764,0.08391408134746872,0.08428064719390202,1.0,-0.10626051354593452,-0.27926942215939343,0.07720819598643382,-0.03276930082493877
msl,-0.18820380417690744,-0.062332419126078925,-0.41105112082874123,-0.4043883557657796,-0.3837185570513137,-0.1994871769480362,0.10869730642187057,0.2501627564992972,-0.0006747718456641392,0.22066669037021833,-0.01234400268623837,,-0.39056876182691347,-0.04650218631214372,,0.02693028762919596,-0.0016267955421920368,-0.03862618199204575,-0.0384353937267444,-0.10626051354593452,1.0,-0.322579234949675,-0.028841453081006933,0.12515277772813835
wdsp,0.36082920565892573,0.2005967939263959,0.6367028666462073,0.6300553086617281,0.6218777378360222,0.2080772294689917,-0.14701918070821343,-0.3477372879779145,-0.02700010595381555,-0.2958053434158361,0.11131892494983085,,0.6334699616094164,0.2059459509092104,,0.020228649039321304,-0.027786775975950233,-0.08454176727295856,-0.08460410415683034,-0.27926942215939343,-0.322579234949675,1.0,0.11226185957672592,-0.12204008814411002
wddir,-0.027182575235976714,-0.005533512189456849,-0.056161661080791465,-0.056255992783378415,-0.04940358811880167,0.049249698660110246,0.01763381084374939,0.00345191172116186,0.048109961710790954,0.03777592141323433,-0.040137228994667956,,-0.05174538369543803,-0.0025995647222337758,,-0.17280683098393076,-0.1713675524246104,-0.1567372151579696,-0.1568874785196517,0.07720819598643382,-0.028841453081006933,0.11226185957672592,1.0,0.018566008555746107
ElectricityPrice,0.22517757570201163,0.39254725098541926,-0.16381259995567993,-0.13767522094626847,-0.21634414443698963,-0.0188059392196344,0.6511365521187531,0.17555041337728844,-0.17934667134204976,0.09421954086932421,0.15181018685283998,,-0.12765265747024013,0.4357549620871815,,0.037442460118225114,0.03439341001070425,0.028598693834084137,0.02856008348834891,-0.03276930082493877,0.12515277772813835,-0.12204008814411002,0.018566008555746107,1.0
