Date (GMT+1),Hydro Run-of-River,Fossil hard coal,Fossil oil,Fossil peat,Fossil gas,Hydro pumped storage,Others,Wind onshore,Load
01-01-2022 0.00,154.3,201.9,0,50.2,350.4,16.3,0,2498.5,3130.1
01-01-2022 0.30,155.2,201.2,0,50.2,350.7,16.5,0,2511.4,3089
01-01-2022 1.00,156.8,207.6,0,50.4,363.9,0,0,2550.3,2988.7
01-01-2022 1.30,156.8,203.5,0,50.3,352.4,0,0,2573.7,2914.2
01-01-2022 2.00,157,208.8,0,50.2,370.2,0,0,2467.7,2819.3
01-01-2022 2.30,155.9,200.5,0,50.3,352.2,0,0,2384,2742.1
01-01-2022 3.00,156.6,207.6,0,50.3,361.7,0,0,2256.7,2675.8
01-01-2022 3.30,154.9,201.7,0,50.3,350.4,0,0,2116.4,2611.3
01-01-2022 4.00,158.5,217.2,0,50.1,376.1,0,0,1948.2,2568.5
01-01-2022 4.30,154.8,204,0,50.4,351.8,0,0,1982.3,2559.2
01-01-2022 5.00,155.5,202.4,0,50.2,351.6,0,0,1790.1,2526.8
01-01-2022 5.30,155.4,201.7,0,50.2,352.4,0,0,1726.5,2531.7
01-01-2022 6.00,153.9,208.8,0,49.9,356.9,0,0,1638.8,2516.4
01-01-2022 6.30,155.2,207.4,0,50.2,359.9,0,0,1617,2547.4
01-01-2022 7.00,154.8,203,0,50.1,353.2,0,0,1538.3,2560.5
01-01-2022 7.30,156.9,210.2,0,50.4,354.6,14.3,0,1421.8,2583.6
01-01-2022 8.00,156.1,209,0,50.3,353.5,19.6,0,1562,2636.5
01-01-2022 8.30,156.9,215.9,0,50.1,376.5,27.5,0,1640.1,2641.7
01-01-2022 9.00,153.4,206.9,0,50.3,349.7,19.2,0,1726.4,2726
01-01-2022 9.30,157.2,217,0,50.2,385.3,30.4,0,1732.2,2849.2
01-01-2022 10.00,155.2,207.2,0,50.1,350.7,19.6,0,1887,
01-01-2022 10.30,155.8,208.3,0,50.2,352.7,19.9,0,1924.2,
01-01-2022 11.00,157.2,217.9,0,50.2,387.2,29.8,0,2023.2,3233.8
01-01-2022 11.30,157.6,216.8,0,50.2,383.1,28.1,0,2022.3,3328.1
01-01-2022 12.00,156.5,214.5,0,50.2,371.3,25.7,0,2169.9,3442.7
01-01-2022 12.30,157.2,214.7,0,50.4,376.6,28.1,0,2268.4,3551.1
01-01-2022 13.00,155.4,208.5,0,46.2,349.4,20.1,0,2421.8,3624.4
01-01-2022 13.30,155.7,209.7,0,46.1,365.5,22.6,0,2552.1,3646.8
01-01-2022 14.00,155,208.1,0,46.2,352.1,20,0,2500.5,
01-01-2022 14.30,155.2,206.7,0,46.3,351.2,20,0,2487.8,
01-01-2022 15.00,156.8,210.6,0,46.2,361,23.3,0,2494.2,3567
01-01-2022 15.30,157.5,215.2,0,54,424.5,67.9,0,2480.1,3565.7
01-01-2022 16.00,155.7,207.6,0,60.3,349.1,19.9,0,2606.3,3619.4
01-01-2022 16.30,156.2,236,0,76.3,413,99.3,0,2599,3729.3
01-01-2022 17.00,154.7,257.5,0,96.3,543.7,207.6,0,2556.7,3976.1
01-01-2022 17.30,155.4,281.3,0,99.5,590.8,172.8,0,2422.7,4052.2
01-01-2022 18.00,157.7,291.6,0,101.4,586.2,189.9,0,2326.8,4012.2
01-01-2022 18.30,154,275.1,0,96.8,497.9,134.5,0,2306.8,3946.1
01-01-2022 19.00,156.9,238.5,0,101.3,445.3,108.5,0,2225.7,3827.4
01-01-2022 19.30,155.8,209.4,0,98.6,427.2,181,0,2112.8,3735.2
01-01-2022 20.00,160,221.3,0,101.6,488.9,150.7,0,2062.1,3612.8
01-01-2022 20.30,156.1,208.5,0,98.1,527.8,95.8,0,2051.2,3539.5
01-01-2022 21.00,157.6,208.8,0,85.1,394.4,19.8,0,2087.9,3419.5
01-01-2022 21.30,157.5,212.2,0,48.3,355.4,27.6,0,2097.2,3339.9
01-01-2022 22.00,157.5,217,0,46.2,374.9,26.2,0,1887.7,3217.9
01-01-2022 22.30,151.2,207.6,0,46.2,345.4,7.6,0,1855,3145.2
01-01-2022 23.00,157.3,211.1,0,48.8,360.6,0,0,1661.6,3088.7
01-01-2022 23.30,157.7,214,0,50.3,362.1,0,0,1982,3083.2
02-01-2022 0.00,157.9,214.3,0,50.1,375.8,0,0,1867.9,2973.9
02-01-2022 0.30,157.7,212.4,0,50.2,368.8,0,0,1853,2891.4
02-01-2022 1.00,158.1,212.9,0,50.3,360.8,0,0,1860.6,2798.4
02-01-2022 1.30,159.9,220,0,50.1,209.5,0,0,1941.6,2734.5
02-01-2022 2.00,158.2,210.6,0,50.2,194,0,24,1706.2,2638.2
02-01-2022 2.30,157.6,210.8,0,50.2,193,0,24.1,1699.7,2596.1
02-01-2022 3.00,160.2,218.2,0,50.4,207.2,0,26.6,1658.3,2531.6
02-01-2022 3.30,157.8,209.5,0,50.2,187.7,0,23.1,1723,2520.2
02-01-2022 4.00,159,213.8,0,50.1,199.1,0,25.2,1779,2508.4
02-01-2022 4.30,158.6,209.5,0,50.2,186.4,0,22.7,1870.7,2499.7
